slug,fullName,status
adam-burdanowski-trener-personalny,Adam Burdanowski,OK
arkadiusz-czajkowski-trener-personalny,Arkadiusz Czajkowski,OK
bartosz-jaszczak-trener-personalny-bydgoszcz,Bartosz Jaszczak,OK
bartosz-trzebiatowski-trener-personalny,Bartosz Trzebiatowski,OK
bartosz-tywusik-trener-personalny,Bartosz Tywusik,OK
bioneuro-sports,Bioneuro Sports,REVIEW
damian-piskorz,Damian Piskorz,OK
dietetyk-bydgoszcz-tomasz-giza,Tomasz Giza,OK
jagoda-konczal-trener-personalny,Jagoda Kończal,OK
jakub-stypczynski-trener-personalny-bydgoszcz,Jakub Stypczyński,OK
lukasz-dziennik-atletyczna-sila,Atletyczna Siła,OK
maja-burek-trener-personalny,Maja Burek,OK
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,Norbert Łysiak,OK
patryk-michalek-trener-personalny,Patryk Michałek,OK
trener-personalny-bydgoszcz-nicolas-marysiak,Nicolas Marysiak,OK
trener-personalny-kamil-makowski,Kamil Makowski,OK
trener-personalny-kamil-tyma,Kamil Tyma,OK
trener-personalny-szymon-idzinski,Szymon Idziński,OK
trener-radoslaw-habera,Radosław Habera,OK
wiktoria-wasik,Wiktoria Wasik,OK
