slug,vercel_project,env_VITE_CLIENT_SLUG,status
adam-burdanowski-trener-personalny,trener-adam-burdanowski-trener-personalny,adam-burdanowski-trener-personalny,ready
anna-mikolajska-trener-personalny,trener-anna-mikolajska-trener-personalny,anna-mikolajska-trener-personalny,ready
arkadiusz-czajkowski-trener-personalny,trener-arkadiusz-czajkowski-trener-personalny,arkadiusz-czajkowski-trener-personalny,deployed
balance-motion-zuzanna-majewska,trener-balance-motion-zuzanna-majewska,balance-motion-zuzanna-majewska,ready
bartosz-jaszczak-trener-personalny-bydgoszcz,trener-bartosz-jaszczak-trener-personalny-bydgoszcz,bartosz-jaszczak-trener-personalny-bydgoszcz,deployed
bartosz-trzebiatowski-trener-personalny,trener-bartosz-trzebiatowski-trener-personalny,bartosz-trzebiatowski-trener-personalny,deployed
bartosz-tywusik-trener-personalny,trener-bartosz-tywusik-trener-personalny,bartosz-tywusik-trener-personalny,deployed
bioneuro-sports,trener-bioneuro-sports,bioneuro-sports,ready
damian-piskorz,trener-damian-piskorz,damian-piskorz,deployed
daria-michalowska-trener-personalny,trener-daria-michalowska-trener-personalny,daria-michalowska-trener-personalny,ready
daria-petla-trener-personalny,trener-daria-petla-trener-personalny,daria-petla-trener-personalny,ready
dawid-cichanski,trener-dawid-cichanski,dawid-cichanski,ready
dietetyk-bydgoszcz-tomasz-giza,trener-dietetyk-bydgoszcz-tomasz-giza,dietetyk-bydgoszcz-tomasz-giza,ready
dofizjo-fizjoterapia-rehabilitacja-pourazowa-trening-personalny,trener-dofizjo-fizjoterapia-rehabilitacja-pourazowa-trening-personalny,dofizjo-fizjoterapia-rehabilitacja-pourazowa-trening-personalny,ready
fit4don,trener-fit4don,fit4don,ready
fizjoterapeuta-i-trener-medyczny-pawel-szczechowicz,trener-fizjoterapeuta-i-trener-medyczny-pawel-szczechowicz,fizjoterapeuta-i-trener-medyczny-pawel-szczechowicz,ready
fizjoterapia-trening-agnieszka-majewska,trener-fizjoterapia-trening-agnieszka-majewska,fizjoterapia-trening-agnieszka-majewska,ready
forever-athlete-vincent-marek,trener-forever-athlete-vincent-marek,forever-athlete-vincent-marek,ready
fusion-pole-gym,trener-fusion-pole-gym,fusion-pole-gym,ready
