rank,slug,title,category,rating,phone,website,email,score
1,stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,STF Studio Treningu Funkcjonalnego - Trener Osobisty Bydgoszcz,Trener osobisty,5,+48 800 806 206,https://studiostf.pl/,kontakt@studiostf.pl,114.0
2,bartosz-jaszczak-trener-personalny-bydgoszcz,Bartosz Jaszczak - Trener Personalny Bydgoszcz,Trener osobisty,5,+48 516 611 578,https://bartoszjaszczak.pl/,kontakt@bartoszjaszczak.pl,114.0
3,ruch-studio-treningu-trener-personalny-bydgoszcz,RUCH. Studio Treningu | Trener personalny Bydgoszcz,Trener osobisty,5,+48 511 550 136,https://ruchstudio.pl/,kontakt@ruchstudio.pl,114.0
4,jakub-stypczynski-trener-personalny-bydgoszcz,Jakub Stypczyński Trener Personalny Bydgoszcz,Trener osobisty,5,+48 661 472 979,https://silakonsekwencji.pl/,%20stypczynsky@o2.p; stypczynsky@o2.p; stypczynsky@o2.pl,114.0
5,trener-personalny-kamil-makowski,Trener Personalny - Kamil Makowski,Trener osobisty,5,+48 514 215 712,https://kamilmakowski.com/,trener@kamilmakowski.com,112.0
6,bartosz-tywusik-trener-personalny,Bartosz Tywusik - Trener Personalny,Trener osobisty,5,+48 669 812 911,https://architektciala.pl/,kontakt@architektciala.pl; kontakt@uodo.gov.pl; porady@dlakonsumentow.pl,112.0
7,sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,"SportHub - Studio Treningu Personalnego - trening personalny, trening dla kobiet Bydgoszcz",Trener osobisty,5,+48 660 230 820,http://www.sporthubstudio.pl/,studiosporthub@gmail.com,111.0
8,arkadiusz-czajkowski-trener-personalny,Arkadiusz Czajkowski - Trener Personalny,Trener osobisty,4.9,+48 665 843 156,http://arkadiuszczajkowski.pl/,trenerczajkowski@gmail.com,111.0
9,trener-biegania-bydgoszcz-brzezinski,Trener Biegania Bydgoszcz - Brzeziński,Trener osobisty,5,+48 725 089 957,https://trenerbiegania-bydgoszcz.pl/,blazejbrzezinski@vp.pl,111.0
10,bartosz-trzebiatowski-trener-personalny,Bartosz Trzebiatowski - Trener Personalny,Trener osobisty,4.8,+48 503 608 491,https://www.bartosztrzebiatowski.pl/,kontakt@bartosztrzebiatowski.pl; kontakt@bartosztrzebiatowskli.pl,110.0
