slug,title,project,status,url,note
trener-personalny-bydgoszcz-nicolas-marysiak,Trener Personalny Bydgoszcz Nicolas Marysiak,trener-trener-personalny-bydgoszcz-nicolas-marysiak,deployed,https://trener-trener-personalny-bydgoszcz.vercel.app,production:added; preview:added; development:added
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,"Norbert Łysiak - trener osobisty triathlon, mtb, pływanie",trener-norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,deployed,https://trener-norbert-lysiak-trener-osobis.vercel.app,production:added; preview:added; development:added
adam-burdanowski-trener-personalny,Adam Burdanowski Trener Personalny,trener-adam-burdanowski-trener-personalny,deployed,https://trener-adam-burdanowski-trener-pers.vercel.app,production:added; preview:added; development:added
trener-radoslaw-habera,Trener Radosław Habera,trener-trener-radoslaw-habera,deployed,https://trener-trener-radoslaw-habera.vercel.app,production:added; preview:added; development:added
jagoda-konczal-trener-personalny,Jagoda Kończal Trener Personalny,trener-jagoda-konczal-trener-personalny,deployed,https://trener-jagoda-konczal-trener-person.vercel.app,production:added; preview:added; development:added
dietetyk-bydgoszcz-tomasz-giza,Dietetyk Bydgoszcz - Tomasz Giza,trener-dietetyk-bydgoszcz-tomasz-giza,deployed,https://trener-dietetyk-bydgoszcz-tomasz-gi.vercel.app,production:added; preview:added; development:added
bioneuro-sports,Bioneuro-Sports,trener-bioneuro-sports,deployed,https://trener-bioneuro-sports.vercel.app,production:added; preview:added; development:added
trener-personalny-szymon-idzinski,Trener Personalny - Szymon Idziński,trener-trener-personalny-szymon-idzinski,deployed,https://trener-trener-personalny-szymon-idz.vercel.app,production:added; preview:added; development:added
maja-burek-trener-personalny,Maja Burek - Trener Personalny,trener-maja-burek-trener-personalny,deployed,https://trener-maja-burek-trener-personalny.vercel.app,production:added; preview:added; development:added
trener-personalny-kamil-tyma,Trener personalny Kamil Tyma,trener-trener-personalny-kamil-tyma,deployed,https://trener-trener-personalny-kamil-tyma.vercel.app,production:added; preview:added; development:added
