slug,vercel_project,env_VITE_CLIENT_SLUG,status
adam-burdanowski-trener-personalny,trener-adam-burdanowski-trener-personalny,adam-burdanowski-trener-personalny,deployed
anna-mikolajska-trener-personalny,trener-anna-mikolajska-trener-personalny,anna-mikolajska-trener-personalny,deployed
arkadiusz-czajkowski-trener-personalny,trener-arkadiusz-czajkowski-trener-personalny,arkadiusz-czajkowski-trener-personalny,deployed
balance-motion-zuzanna-majewska,trener-balance-motion-zuzanna-majewska,balance-motion-zuzanna-majewska,deployed
bartosz-jaszczak-trener-personalny-bydgoszcz,trener-bartosz-jaszczak-trener-personalny-bydgoszcz,bartosz-jaszczak-trener-personalny-bydgoszcz,deployed
bartosz-trzebiatowski-trener-personalny,trener-bartosz-trzebiatowski-trener-personalny,bartosz-trzebiatowski-trener-personalny,deployed
bartosz-tywusik-trener-personalny,trener-bartosz-tywusik-trener-personalny,bartosz-tywusik-trener-personalny,deployed
damian-piskorz,trener-damian-piskorz,damian-piskorz,deployed
daria-michalowska-trener-personalny,trener-daria-michalowska-trener-personalny,daria-michalowska-trener-personalny,deployed
daria-petla-trener-personalny,trener-daria-petla-trener-personalny,daria-petla-trener-personalny,deployed
dawid-cichanski,trener-dawid-cichanski,dawid-cichanski,deployed
dietetyk-bydgoszcz-tomasz-giza,trener-dietetyk-bydgoszcz-tomasz-giza,dietetyk-bydgoszcz-tomasz-giza,deployed
fizjoterapia-trening-agnieszka-majewska,trener-fizjoterapia-trening-agnieszka-majewska,fizjoterapia-trening-agnieszka-majewska,deployed
forever-athlete-vincent-marek,trener-forever-athlete-vincent-marek,forever-athlete-vincent-marek,deployed
jagoda-konczal-trener-personalny,trener-jagoda-konczal-trener-personalny,jagoda-konczal-trener-personalny,deployed
jakub-stypczynski-trener-personalny-bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,jakub-stypczynski-trener-personalny-bydgoszcz,deployed
kacper-wendrowski-trener-personalny-bydgoszcz,trener-kacper-wendrowski-trener-personalny-bydgoszcz,kacper-wendrowski-trener-personalny-bydgoszcz,deployed
kaja-narkun,trener-kaja-narkun,kaja-narkun,deployed
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,deployed
karol-siemianowski,trener-karol-siemianowski,karol-siemianowski,deployed
lukasz-dziennik-atletyczna-sila,trener-lukasz-dziennik-atletyczna-sila,lukasz-dziennik-atletyczna-sila,deployed
maciej-karolczyk-trener-personalny,trener-maciej-karolczyk-trener-personalny,maciej-karolczyk-trener-personalny,deployed
maja-burek-trener-personalny,trener-maja-burek-trener-personalny,maja-burek-trener-personalny,deployed
maksymilian-papierowski-trener-personalny,trener-maksymilian-papierowski-trener-personalny,maksymilian-papierowski-trener-personalny,deployed
marcin-osak-trener-personalny,trener-marcin-osak-trener-personalny,marcin-osak-trener-personalny,deployed
mateusz-gawarkiewicz,trener-mateusz-gawarkiewicz,mateusz-gawarkiewicz,deployed
mateusz-mazur,trener-mateusz-mazur,mateusz-mazur,deployed
mikolaj-karaszewski-fitness-lifestyle,trener-mikolaj-karaszewski-fitness-lifestyle,mikolaj-karaszewski-fitness-lifestyle,deployed
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,trener-norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,deployed
oskar-kaliszewski-trener-personalny,trener-oskar-kaliszewski-trener-personalny,oskar-kaliszewski-trener-personalny,deployed
patryk-kozikowski,trener-patryk-kozikowski,patryk-kozikowski,deployed
patryk-michalek-trener-personalny,trener-patryk-michalek-trener-personalny,patryk-michalek-trener-personalny,deployed
trener-personalny-bydgoszcz-nicolas-marysiak,trener-trener-personalny-bydgoszcz-nicolas-marysiak,trener-personalny-bydgoszcz-nicolas-marysiak,deployed
trener-personalny-kamil-makowski,trener-trener-personalny-kamil-makowski,trener-personalny-kamil-makowski,deployed
trener-personalny-kamil-tyma,trener-trener-personalny-kamil-tyma,trener-personalny-kamil-tyma,deployed
trener-personalny-szymon-idzinski,trener-trener-personalny-szymon-idzinski,trener-personalny-szymon-idzinski,deployed
trener-radoslaw-habera,trener-trener-radoslaw-habera,trener-radoslaw-habera,deployed
trenerka-werka-weronika-szyczewska-tchorzewska,trener-trenerka-werka-weronika-szyczewska-tchorzewska,trenerka-werka-weronika-szyczewska-tchorzewska,deployed
wiktoria-wasik,trener-wiktoria-wasik,wiktoria-wasik,deployed
