slug,vercel_project,env_slug,profile_exists,status
adam-burdanowski-trener-personalny,trener-adam-burdanowski-trener-personalny,adam-burdanowski-trener-personalny,true,ok
anna-mikolajska-trener-personalny,trener-anna-mikolajska-trener-personalny,anna-mikolajska-trener-personalny,true,ok
arkadiusz-czajkowski-trener-personalny,trener-arkadiusz-czajkowski-trener-personalny,arkadiusz-czajkowski-trener-personalny,true,ok
balance-motion-zuzanna-majewska,trener-balance-motion-zuzanna-majewska,balance-motion-zuzanna-majewska,true,ok
bartosz-jaszczak-trener-personalny-bydgoszcz,trener-bartosz-jaszczak-trener-personalny-bydgoszcz,bartosz-jaszczak-trener-personalny-bydgoszcz,true,ok
bartosz-trzebiatowski-trener-personalny,trener-bartosz-trzebiatowski-trener-personalny,bartosz-trzebiatowski-trener-personalny,true,ok
bartosz-tywusik-trener-personalny,trener-bartosz-tywusik-trener-personalny,bartosz-tywusik-trener-personalny,true,ok
damian-piskorz,trener-damian-piskorz,damian-piskorz,true,ok
daria-michalowska-trener-personalny,trener-daria-michalowska-trener-personalny,daria-michalowska-trener-personalny,true,ok
daria-petla-trener-personalny,trener-daria-petla-trener-personalny,daria-petla-trener-personalny,true,ok
dawid-cichanski,trener-dawid-cichanski,dawid-cichanski,true,ok
dietetyk-bydgoszcz-tomasz-giza,trener-dietetyk-bydgoszcz-tomasz-giza,dietetyk-bydgoszcz-tomasz-giza,true,ok
fizjoterapia-trening-agnieszka-majewska,trener-fizjoterapia-trening-agnieszka-majewska,fizjoterapia-trening-agnieszka-majewska,true,ok
forever-athlete-vincent-marek,trener-forever-athlete-vincent-marek,forever-athlete-vincent-marek,true,ok
jagoda-konczal-trener-personalny,trener-jagoda-konczal-trener-personalny,jagoda-konczal-trener-personalny,true,ok
jakub-stypczynski-trener-personalny-bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,jakub-stypczynski-trener-personalny-bydgoszcz,true,ok
kacper-wendrowski-trener-personalny-bydgoszcz,trener-kacper-wendrowski-trener-personalny-bydgoszcz,kacper-wendrowski-trener-personalny-bydgoszcz,true,ok
kaja-narkun,trener-kaja-narkun,kaja-narkun,true,ok
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,true,ok
karol-siemianowski,trener-karol-siemianowski,karol-siemianowski,true,ok
lukasz-dziennik-atletyczna-sila,trener-lukasz-dziennik-atletyczna-sila,lukasz-dziennik-atletyczna-sila,true,ok
maciej-karolczyk-trener-personalny,trener-maciej-karolczyk-trener-personalny,maciej-karolczyk-trener-personalny,true,ok
maja-burek-trener-personalny,trener-maja-burek-trener-personalny,maja-burek-trener-personalny,true,ok
maksymilian-papierowski-trener-personalny,trener-maksymilian-papierowski-trener-personalny,maksymilian-papierowski-trener-personalny,true,ok
marcin-osak-trener-personalny,trener-marcin-osak-trener-personalny,marcin-osak-trener-personalny,true,ok
mateusz-gawarkiewicz,trener-mateusz-gawarkiewicz,mateusz-gawarkiewicz,true,ok
mateusz-mazur,trener-mateusz-mazur,mateusz-mazur,true,ok
mikolaj-karaszewski-fitness-lifestyle,trener-mikolaj-karaszewski-fitness-lifestyle,mikolaj-karaszewski-fitness-lifestyle,true,ok
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,trener-norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,true,ok
oskar-kaliszewski-trener-personalny,trener-oskar-kaliszewski-trener-personalny,oskar-kaliszewski-trener-personalny,true,ok
patryk-kozikowski,trener-patryk-kozikowski,patryk-kozikowski,true,ok
patryk-michalek-trener-personalny,trener-patryk-michalek-trener-personalny,patryk-michalek-trener-personalny,true,ok
trener-personalny-bydgoszcz-nicolas-marysiak,trener-trener-personalny-bydgoszcz-nicolas-marysiak,trener-personalny-bydgoszcz-nicolas-marysiak,true,ok
trener-personalny-kamil-makowski,trener-trener-personalny-kamil-makowski,trener-personalny-kamil-makowski,true,ok
trener-personalny-kamil-tyma,trener-trener-personalny-kamil-tyma,trener-personalny-kamil-tyma,true,ok
trener-personalny-szymon-idzinski,trener-trener-personalny-szymon-idzinski,trener-personalny-szymon-idzinski,true,ok
trener-radoslaw-habera,trener-trener-radoslaw-habera,trener-radoslaw-habera,true,ok
trenerka-werka-weronika-szyczewska-tchorzewska,trener-trenerka-werka-weronika-szyczewska-tchorzewska,trenerka-werka-weronika-szyczewska-tchorzewska,true,ok
wiktoria-wasik,trener-wiktoria-wasik,wiktoria-wasik,true,ok
