slug,project,status,url,note
arkadiusz-czajkowski-trener-personalny,trener-arkadiusz-czajkowski-trener-personalny,deployed,https://trener-arkadiusz-czajkowski-trener.vercel.app,redeployed
bartosz-jaszczak-trener-personalny-bydgoszcz,trener-bartosz-jaszczak-trener-personalny-bydgoszcz,deployed,https://trener-bartosz-jaszczak-trener-pers.vercel.app,redeployed
bartosz-trzebiatowski-trener-personalny,trener-bartosz-trzebiatowski-trener-personalny,deployed,https://trener-bartosz-trzebiatowski-trener.vercel.app,redeployed
bartosz-tywusik-trener-personalny,trener-bartosz-tywusik-trener-personalny,deployed,https://trener-bartosz-tywusik-trener-perso.vercel.app,redeployed
damian-piskorz,trener-damian-piskorz,deployed,https://trener-damian-piskorz.vercel.app,redeployed
daria-petla-trener-personalny,trener-daria-petla-trener-personalny,deployed,https://trener-daria-petla-trener-personaln.vercel.app,redeployed
dawid-cichanski,trener-dawid-cichanski,deployed,https://trener-dawid-cichanski.vercel.app,redeployed
dietetyk-bydgoszcz-tomasz-giza,trener-dietetyk-bydgoszcz-tomasz-giza,deployed,https://trener-dietetyk-bydgoszcz-tomasz-gi.vercel.app,redeployed
forever-athlete-vincent-marek,trener-forever-athlete-vincent-marek,deployed,https://trener-forever-athlete-vincent-mare.vercel.app,redeployed
jagoda-konczal-trener-personalny,trener-jagoda-konczal-trener-personalny,deployed,https://trener-jagoda-konczal-trener-person.vercel.app,redeployed
jakub-stypczynski-trener-personalny-bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,deployed,https://trener-jakub-stypczynski-trener-per.vercel.app,redeployed
kaja-narkun,trener-kaja-narkun,deployed,https://trener-kaja-narkun.vercel.app,redeployed
lukasz-dziennik-atletyczna-sila,trener-lukasz-dziennik-atletyczna-sila,deployed,https://trener-lukasz-dziennik-atletyczna-s.vercel.app,redeployed
maciej-karolczyk-trener-personalny,trener-maciej-karolczyk-trener-personalny,deployed,https://trener-maciej-karolczyk-trener-pers.vercel.app,redeployed
maja-burek-trener-personalny,trener-maja-burek-trener-personalny,deployed,https://trener-maja-burek-trener-personalny.vercel.app,redeployed
mateusz-mazur,trener-mateusz-mazur,deployed,https://trener-mateusz-mazur.vercel.app,redeployed
mikolaj-karaszewski-fitness-lifestyle,trener-mikolaj-karaszewski-fitness-lifestyle,deployed,https://trener-mikolaj-karaszewski-fitness.vercel.app,redeployed
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,trener-norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,deployed,https://trener-norbert-lysiak-trener-osobis.vercel.app,redeployed
oskar-kaliszewski-trener-personalny,trener-oskar-kaliszewski-trener-personalny,deployed,https://trener-oskar-kaliszewski-trener-per.vercel.app,redeployed
patryk-kozikowski,trener-patryk-kozikowski,deployed,https://trener-patryk-kozikowski.vercel.app,redeployed
patryk-michalek-trener-personalny,trener-patryk-michalek-trener-personalny,deployed,https://trener-patryk-michalek-trener-perso.vercel.app,redeployed
trener-personalny-bydgoszcz-nicolas-marysiak,trener-trener-personalny-bydgoszcz-nicolas-marysiak,deployed,https://trener-trener-personalny-bydgoszcz.vercel.app,redeployed
trener-personalny-kamil-makowski,trener-trener-personalny-kamil-makowski,deployed,https://trener-trener-personalny-kamil-mako.vercel.app,redeployed
trener-personalny-szymon-idzinski,trener-trener-personalny-szymon-idzinski,deployed,https://trener-trener-personalny-szymon-idz.vercel.app,redeployed
trener-radoslaw-habera,trener-trener-radoslaw-habera,deployed,https://trener-trener-radoslaw-habera.vercel.app,redeployed
wiktoria-wasik,trener-wiktoria-wasik,deployed,https://trener-wiktoria-wasik.vercel.app,redeployed
