slug,project,status,url,note
jakub-stypczynski-trener-personalny-bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-jakub-stypczynski-trener-personalny-bydgoszcz
Uploading [--------------------] (0.0B/9.5KB)
Uploading [===================-] (9.4KB/9.5KB)
Uploading [====================] (9.5KB/9.5KB)
Error: Resource is limited - try "
kacper-wendrowski-trener-personalny-bydgoszcz,trener-kacper-wendrowski-trener-personalny-bydgoszcz,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-kacper-wendrowski-trener-personalny-bydgoszcz
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
kaja-narkun,trener-kaja-narkun,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-kaja-narkun
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
karol-siemianowski,trener-karol-siemianowski,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-karol-siemianowski
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
lukasz-dziennik-atletyczna-sila,trener-lukasz-dziennik-atletyczna-sila,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-lukasz-dziennik-atletyczna-sila
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
maciej-karolczyk-trener-personalny,trener-maciej-karolczyk-trener-personalny,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-maciej-karolczyk-trener-personalny
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
maja-burek-trener-personalny,trener-maja-burek-trener-personalny,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-maja-burek-trener-personalny
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
maksymilian-papierowski-trener-personalny,trener-maksymilian-papierowski-trener-personalny,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-maksymilian-papierowski-trener-personalny
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
marcin-osak-trener-personalny,trener-marcin-osak-trener-personalny,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-marcin-osak-trener-personalny
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
mateusz-gawarkiewicz,trener-mateusz-gawarkiewicz,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-mateusz-gawarkiewicz
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
mateusz-mazur,trener-mateusz-mazur,failed_deploy,,"
Vercel CLI 50.19.1
Retrieving project…
Deploying noluczek-8035s-projects/trener-mateusz-mazur
Error: Resource is limited - try again in 8 hours (more than 100, code: ""api-deployments-free-per-day"").
"
