slug,title,vercel_url,http_status,audit_status,match_score,matched_tokens,missing_tokens,page_title,note
adam-burdanowski-trener-personalny,Adam Burdanowski Trener Personalny,https://trener-adam-burdanowski-trener-pers.vercel.app,200,mismatch,0.00,,adam|burdanowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
anna-mikolajska-trener-personalny,Anna Mikołajska - Trener personalny,https://trener-anna-mikolajska-trener-perso.vercel.app,200,mismatch,0.00,,anna|miko|ajska,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
arkadiusz-czajkowski-trener-personalny,Arkadiusz Czajkowski - Trener Personalny,https://trener-arkadiusz-czajkowski-trener.vercel.app,200,mismatch,0.00,,arkadiusz|czajkowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
balance-motion-zuzanna-majewska,Balance & Motion Zuzanna Majewska,https://trener-balance-motion-zuzanna-majew.vercel.app,200,mismatch,0.00,,balance|motion|zuzanna|majewska,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
bartosz-jaszczak-trener-personalny-bydgoszcz,Bartosz Jaszczak - Trener Personalny Bydgoszcz,https://trener-bartosz-jaszczak-trener-pers.vercel.app,200,mismatch,0.00,,bartosz|jaszczak,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
bartosz-trzebiatowski-trener-personalny,Bartosz Trzebiatowski - Trener Personalny,https://trener-bartosz-trzebiatowski-trener.vercel.app,200,mismatch,0.00,,bartosz|trzebiatowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
bartosz-tywusik-trener-personalny,Bartosz Tywusik - Trener Personalny,https://trener-bartosz-tywusik-trener-perso.vercel.app,200,mismatch,0.00,,bartosz|tywusik,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
damian-piskorz,Damian Piskorz,https://trener-damian-piskorz.vercel.app,200,mismatch,0.00,,damian|piskorz,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
daria-michalowska-trener-personalny,Daria Michałowska - Trener personalny,https://trener-daria-michalowska-trener-per.vercel.app,200,mismatch,0.00,,daria|micha|owska,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
daria-petla-trener-personalny,Daria Petla Trener Personalny,https://trener-daria-petla-trener-personaln.vercel.app,200,mismatch,0.00,,daria|petla,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
dawid-cichanski,Dawid Cichański,https://trener-dawid-cichanski.vercel.app,200,mismatch,0.00,,dawid|cichanski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
dietetyk-bydgoszcz-tomasz-giza,Dietetyk Bydgoszcz - Tomasz Giza,https://trener-dietetyk-bydgoszcz-tomasz-gi.vercel.app,200,mismatch,0.00,,dietetyk|tomasz|giza,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
fizjoterapia-trening-agnieszka-majewska,Fizjoterapia&Trening Agnieszka Majewska,https://trener-fizjoterapia-trening-agniesz.vercel.app,200,partial,0.25,trening,fizjoterapia|agnieszka|majewska,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
forever-athlete-vincent-marek,Forever Athlete - Vincent Marek,https://trener-forever-athlete-vincent-mare.vercel.app,200,mismatch,0.00,,forever|athlete|vincent|marek,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
jagoda-konczal-trener-personalny,Jagoda Kończal Trener Personalny,https://trener-jagoda-konczal-trener-person.vercel.app,200,mismatch,0.00,,jagoda|konczal,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
jakub-stypczynski-trener-personalny-bydgoszcz,Jakub Stypczyński Trener Personalny Bydgoszcz,https://trener-jakub-stypczynski-trener-per.vercel.app,200,mismatch,0.00,,jakub|stypczynski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
kacper-wendrowski-trener-personalny-bydgoszcz,Kacper Wendrowski Trener Personalny Bydgoszcz,https://trener-kacper-wendrowski-trener-per.vercel.app,200,mismatch,0.00,,kacper|wendrowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
kaja-narkun,Kaja Narkun,https://trener-kaja-narkun.vercel.app,200,mismatch,0.00,,kaja|narkun,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,Kamil Rzepka Body Practiz - trener personalny - trener osobisty,https://trener-kamil-rzepka-body-practiz-tr.vercel.app,200,mismatch,0.00,,kamil|rzepka|body|practiz,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
karol-siemianowski,Karol Siemianowski,https://trener-karol-siemianowski.vercel.app,200,mismatch,0.00,,karol|siemianowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
lukasz-dziennik-atletyczna-sila,Łukasz Dziennik - Atletyczna Siła,https://trener-lukasz-dziennik-atletyczna-s.vercel.app,200,mismatch,0.00,,ukasz|dziennik|atletyczna,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
maciej-karolczyk-trener-personalny,Maciej Karolczyk Trener Personalny,https://trener-maciej-karolczyk-trener-pers.vercel.app,200,mismatch,0.00,,maciej|karolczyk,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
maja-burek-trener-personalny,Maja Burek - Trener Personalny,https://trener-maja-burek-trener-personalny.vercel.app,200,mismatch,0.00,,maja|burek,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
maksymilian-papierowski-trener-personalny,Maksymilian Papierowski - Trener Personalny,https://trener-maksymilian-papierowski-tren.vercel.app,200,mismatch,0.00,,maksymilian|papierowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
marcin-osak-trener-personalny,Marcin Osak - trener personalny,https://trener-marcin-osak-trener-personaln.vercel.app,200,mismatch,0.00,,marcin|osak,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
mateusz-gawarkiewicz,Mateusz Gawarkiewicz,https://trener-mateusz-gawarkiewicz.vercel.app,200,mismatch,0.00,,mateusz|gawarkiewicz,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
mateusz-mazur,Mateusz Mazur,https://trener-mateusz-mazur.vercel.app,200,mismatch,0.00,,mateusz|mazur,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
mikolaj-karaszewski-fitness-lifestyle,Mikołaj Karaszewski Fitness&Lifestyle,https://trener-mikolaj-karaszewski-fitness.vercel.app,200,mismatch,0.00,,miko|karaszewski|fitness|lifestyle,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,"Norbert Łysiak - trener osobisty triathlon, mtb, pływanie",https://trener-norbert-lysiak-trener-osobis.vercel.app,200,mismatch,0.00,,norbert|ysiak|triathlon|ywanie,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
oskar-kaliszewski-trener-personalny,Oskar Kaliszewski - Trener Personalny,https://trener-oskar-kaliszewski-trener-per.vercel.app,200,mismatch,0.00,,oskar|kaliszewski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
patryk-kozikowski,Patryk Kozikowski,https://trener-patryk-kozikowski.vercel.app,200,mismatch,0.00,,patryk|kozikowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
patryk-michalek-trener-personalny,Patryk Michałek - Trener Personalny,https://trener-patryk-michalek-trener-perso.vercel.app,200,mismatch,0.00,,patryk|micha,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
trener-personalny-bydgoszcz-nicolas-marysiak,Trener Personalny Bydgoszcz Nicolas Marysiak,https://trener-trener-personalny-bydgoszcz.vercel.app,200,mismatch,0.00,,nicolas|marysiak,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
trener-personalny-kamil-makowski,Trener Personalny - Kamil Makowski,https://trener-trener-personalny-kamil-mako.vercel.app,200,mismatch,0.00,,kamil|makowski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
trener-personalny-kamil-tyma,Trener personalny Kamil Tyma,https://trener-trener-personalny-kamil-tyma.vercel.app,200,mismatch,0.00,,kamil|tyma,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
trener-personalny-szymon-idzinski,Trener Personalny - Szymon Idziński,https://trener-trener-personalny-szymon-idz.vercel.app,200,mismatch,0.00,,szymon|idzinski,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
trener-radoslaw-habera,Trener Radosław Habera,https://trener-trener-radoslaw-habera.vercel.app,200,mismatch,0.00,,rados|habera,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
trenerka-werka-weronika-szyczewska-tchorzewska,Trenerka Werka Weronika Szyczewska- Tchorzewska,https://trener-trenerka-werka-weronika-szyc.vercel.app,200,mismatch,0.00,,werka|weronika|szyczewska|tchorzewska,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
wiktoria-wasik,Wiktoria Wasik,https://trener-wiktoria-wasik.vercel.app,200,mismatch,0.00,,wiktoria|wasik,Trener Personalny Bydgoszcz | Trening 1:1 i Online,js_hydration_can_affect_raw_html
