slug,title,project,status,url,note
stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,STF Studio Treningu Funkcjonalnego - Trener Osobisty Bydgoszcz,trener-stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,deployed,https://trener-stf-studio-treningu-funkcjon.vercel.app,production:updated; preview:updated; development:updated
bartosz-jaszczak-trener-personalny-bydgoszcz,Bartosz Jaszczak - Trener Personalny Bydgoszcz,trener-bartosz-jaszczak-trener-personalny-bydgoszcz,deployed,https://trener-bartosz-jaszczak-trener-pers.vercel.app,production:updated; preview:updated; development:updated
ruch-studio-treningu-trener-personalny-bydgoszcz,RUCH. Studio Treningu | Trener personalny Bydgoszcz,trener-ruch-studio-treningu-trener-personalny-bydgoszcz,deployed,https://trener-ruch-studio-treningu-trener.vercel.app,production:updated; preview:updated; development:updated
jakub-stypczynski-trener-personalny-bydgoszcz,Jakub Stypczyński Trener Personalny Bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,deployed,https://trener-jakub-stypczynski-trener-per.vercel.app,production:updated; preview:updated; development:updated
trener-personalny-kamil-makowski,Trener Personalny - Kamil Makowski,trener-trener-personalny-kamil-makowski,deployed,https://trener-trener-personalny-kamil-mako.vercel.app,production:updated; preview:updated; development:added
bartosz-tywusik-trener-personalny,Bartosz Tywusik - Trener Personalny,trener-bartosz-tywusik-trener-personalny,deployed,https://trener-bartosz-tywusik-trener-perso.vercel.app,production:added; preview:added; development:added
sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,"SportHub - Studio Treningu Personalnego - trening personalny, trening dla kobiet Bydgoszcz",trener-sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,deployed,https://trener-sporthub-studio-treningu-per.vercel.app,production:added; preview:added; development:added
arkadiusz-czajkowski-trener-personalny,Arkadiusz Czajkowski - Trener Personalny,trener-arkadiusz-czajkowski-trener-personalny,deployed,https://trener-arkadiusz-czajkowski-trener.vercel.app,production:added; preview:added; development:added
trener-biegania-bydgoszcz-brzezinski,Trener Biegania Bydgoszcz - Brzeziński,trener-trener-biegania-bydgoszcz-brzezinski,deployed,https://trener-trener-biegania-bydgoszcz-br.vercel.app,production:added; preview:added; development:added
bartosz-trzebiatowski-trener-personalny,Bartosz Trzebiatowski - Trener Personalny,trener-bartosz-trzebiatowski-trener-personalny,deployed,https://trener-bartosz-trzebiatowski-trener.vercel.app,production:added; preview:added; development:added
